# Blocco	Energia Media	Errore Energia	Pressione Media	Errore Pressione
431	-7.55244	0.00641853	9.45515	0.0351063
432	-7.55243	0.00640368	9.45513	0.0350251
433	-7.55236	0.00638921	9.45542	0.0349454
434	-7.55231	0.00637467	9.4556	0.0348653
435	-7.5522	0.00636111	9.4562	0.0347905
436	-7.5522	0.00634652	9.45617	0.0347107
437	-7.5521	0.00633278	9.45671	0.0346355
438	-7.55229	0.00632128	9.45562	0.0345734
439	-7.55242	0.0063081	9.45488	0.0345026
440	-7.55263	0.00629742	9.45364	0.0344467
441	-7.55288	0.00628785	9.45223	0.0343975
442	-7.55312	0.00627844	9.45075	0.0343515
443	-7.55334	0.00626795	9.44942	0.0342994
444	-7.5534	0.00625411	9.44899	0.0342249
445	-7.55347	0.00624045	9.44852	0.0341512
446	-7.55358	0.00622752	9.44778	0.0340828
447	-7.55363	0.00621381	9.44741	0.0340084
448	-7.55363	0.00619994	9.44733	0.0339326
449	-7.55374	0.00618712	9.4467	0.0338628
450	-7.55388	0.00617485	9.44589	0.0337975
451	-7.55394	0.00616145	9.44549	0.0337248
452	-7.55392	0.00614785	9.44555	0.0336503
453	-7.55381	0.00613532	9.44608	0.0335802
454	-7.55374	0.00612217	9.44632	0.0335071
455	-7.55357	0.00611108	9.44719	0.0334447
456	-7.55346	0.00609873	9.44774	0.0333758
457	-7.55338	0.00608581	9.44806	0.0333044
458	-7.55326	0.00607372	9.44862	0.0332363
459	-7.55305	0.00606439	9.44966	0.0331801
460	-7.55293	0.0060524	9.4502	0.0331124
461	-7.55288	0.00603941	9.45027	0.0330406
462	-7.55284	0.00602648	9.45042	0.0329694
463	-7.5529	0.00601375	9.45004	0.0329004
464	-7.553	0.00600155	9.44949	0.0328341
465	-7.55292	0.00598914	9.44989	0.0327659
466	-7.55304	0.00597751	9.44925	0.0327019
467	-7.55303	0.00596472	9.44937	0.0326321
468	-7.55308	0.00595214	9.44919	0.0325629
