# Blocco	Energia Media	Errore Energia	Pressione Media	Errore Pressione
286	-5.55821	0.012799	1.5694	0.0671598
287	-5.55771	0.0127643	1.57302	0.0670239
288	-5.55696	0.012742	1.57635	0.0668746
289	-5.55627	0.0127162	1.57959	0.0667227
290	-5.55566	0.0126873	1.58242	0.0665533
291	-5.55514	0.0126542	1.58383	0.0663403
292	-5.55495	0.0126123	1.5842	0.0661149
293	-5.55497	0.0125693	1.58408	0.0658901
294	-5.555	0.0125266	1.5835	0.0656694
295	-5.55515	0.012485	1.5836	0.0654476
296	-5.55508	0.012443	1.58305	0.0652295
297	-5.55514	0.0124012	1.5823	0.0650149
298	-5.55529	0.0123604	1.58145	0.0648031
299	-5.55544	0.0123201	1.57973	0.0646097
300	-5.55576	0.012283	1.57864	0.0644043
301	-5.55592	0.0122433	1.57816	0.0641929
302	-5.55597	0.0122029	1.57565	0.06403
303	-5.55653	0.0121752	1.57411	0.0638379
304	-5.55687	0.0121399	1.57317	0.0636356
305	-5.55712	0.0121028	1.57156	0.0634478
306	-5.55752	0.0120697	1.56956	0.0632727
307	-5.55801	0.0120405	1.56858	0.0630749
308	-5.55828	0.0120042	1.56914	0.0628732
309	-5.55818	0.0119658	1.56937	0.0626708
310	-5.55813	0.0119273	1.56992	0.0624717
311	-5.55808	0.011889	1.57044	0.0622736
312	-5.55804	0.011851	1.57082	0.0620758
313	-5.55808	0.0118132	1.5702	0.0618813
314	-5.55831	0.0117778	1.56983	0.0616859
315	-5.5585	0.011742	1.56855	0.0615041
316	-5.55888	0.011711	1.56646	0.0613456
317	-5.55934	0.0116829	1.56583	0.0611559
318	-5.55948	0.0116471	1.56463	0.0609759
319	-5.55974	0.0116135	1.56449	0.0607855
320	-5.55988	0.0115779	1.56512	0.0605993
321	-5.55987	0.0115419	1.56474	0.0604123
322	-5.56001	0.011507	1.5645	0.0602258
323	-5.5601	0.0114716	1.56506	0.0600425
324	-5.55998	0.0114369	1.56463	0.0598593
325	-5.56006	0.011402	1.56445	0.059676
326	-5.56009	0.011367	1.56401	0.0594951
327	-5.5602	0.0113328	1.56569	0.0593375
328	-5.55983	0.0113041	1.56706	0.059173
329	-5.55956	0.0112731	1.56774	0.0589976
330	-5.5595	0.0112391	1.56846	0.0588237
331	-5.55944	0.0112052	1.56917	0.0586508
332	-5.55937	0.0111717	1.57046	0.0584889
333	-5.55916	0.0111402	1.57115	0.0583179
334	-5.55914	0.0111068	1.57139	0.0581443
335	-5.55921	0.0110739	1.57271	0.0579863
336	-5.55908	0.0110418	1.57437	0.0578379
337	-5.55887	0.0110111	1.57585	0.0576857
338	-5.55871	0.0109797	1.57669	0.0575217
339	-5.55867	0.0109473	1.57778	0.0573629
340	-5.55852	0.0109161	1.57782	0.0571947
341	-5.55861	0.0108844	1.57846	0.0570309
342	-5.55854	0.0108528	1.57782	0.0568682
343	-5.55878	0.0108237	1.57697	0.0567092
344	-5.55904	0.0107955	1.57776	0.0565503
345	-5.55896	0.0107645	1.57781	0.0563868
346	-5.55899	0.0107335	1.57732	0.0562264
347	-5.55912	0.0107033	1.57697	0.056066
348	-5.55924	0.0106732	1.57671	0.0559059
349	-5.55933	0.010643	1.57574	0.0557547
350	-5.55958	0.0106155	1.57479	0.0556038
351	-5.55983	0.0105883	1.57502	0.0554464
352	-5.55981	0.0105582	1.57576	0.0552941
353	-5.55969	0.010529	1.57483	0.0551457
354	-5.55989	0.0105012	1.5742	0.0549939
355	-5.56004	0.0104727	1.57256	0.0548639
356	-5.56035	0.0104479	1.57017	0.0547624
357	-5.56086	0.0104307	1.56887	0.0546248
358	-5.5611	0.0104043	1.56869	0.054473
359	-5.56106	0.0103754	1.56837	0.0543226
360	-5.56111	0.0103467	1.56787	0.0541744
361	-5.56121	0.0103185	1.56795	0.0540248
362	-5.56117	0.0102901	1.56769	0.0538766
363	-5.56121	0.0102618	1.5672	0.0537308
364	-5.56135	0.0102345	1.56663	0.0535867
365	-5.56149	0.0102074	1.56636	0.053441
366	-5.5616	0.0101801	1.56657	0.0532958
367	-5.5616	0.0101524	1.5672	0.0531547
368	-5.56153	0.010125	1.56853	0.0530274
369	-5.5613	0.0101003	1.5685	0.0528841
370	-5.5614	0.0100736	1.56898	0.0527437
371	-5.56137	0.0100465	1.57028	0.052618
372	-5.56116	0.0100217	1.57284	0.0525393
373	-5.56067	0.0100067	1.57476	0.0524337
374	-5.56028	0.00998772	1.57661	0.0523265
375	-5.55988	0.00996909	1.57895	0.0522398
376	-5.55936	0.0099561	1.58104	0.0521428
377	-5.55888	0.00994105	1.58299	0.0520416
378	-5.55844	0.00992455	1.58449	0.0519256
379	-5.55814	0.00990276	1.58638	0.0518235
380	-5.55773	0.00988554	1.58762	0.0517023
381	-5.55744	0.0098636	1.58791	0.0515677
382	-5.55738	0.009838	1.58808	0.0514334
383	-5.55736	0.00981234	1.58811	0.0512995
384	-5.55734	0.0097868	1.58844	0.0511673
385	-5.55728	0.00976161	1.58804	0.0510362
386	-5.55739	0.00973692	1.5876	0.0509063
387	-5.55749	0.00971232	1.5871	0.0507775
388	-5.55757	0.00968762	1.58657	0.0506497
389	-5.55768	0.00966334	1.58519	0.0505388
390	-5.55798	0.0096432	1.5843	0.0504173
391	-5.55816	0.00962021	1.58323	0.0503002
392	-5.55843	0.00959957	1.58159	0.0501989
393	-5.55882	0.009583	1.58018	0.0500912
394	-5.55915	0.00956445	1.57948	0.0499693
395	-5.55934	0.00954203	1.57911	0.0498445
396	-5.55944	0.00951848	1.57897	0.0497191
397	-5.55953	0.0094949	1.57885	0.0495943
398	-5.55958	0.0094712	1.57732	0.0494938
399	-5.55992	0.0094534	1.57616	0.0493836
400	-5.56014	0.00943247	1.57476	0.0492804
401	-5.56044	0.00941366	1.57411	0.049162
402	-5.5606	0.00939153	1.57474	0.049044
403	-5.56048	0.00936899	1.57511	0.0489241
404	-5.56038	0.00934628	1.57499	0.0488034
405	-5.56032	0.00932339	1.57354	0.0487047
406	-5.56062	0.0093051	1.57109	0.0486464
407	-5.56115	0.00929719	1.56905	0.04857
408	-5.56159	0.00928513	1.56754	0.0484747
409	-5.56183	0.00926534	1.56625	0.0483737
410	-5.562	0.00924433	1.56596	0.0482569
411	-5.56192	0.00922219	1.56519	0.048146
412	-5.56201	0.0092003	1.5651	0.0480295
413	-5.56194	0.00917831	1.56526	0.0479137
414	-5.56182	0.00915695	1.56541	0.0477985
415	-5.56173	0.00913529	1.56588	0.047686
416	-5.5616	0.0091143	1.56534	0.0475748
417	-5.56168	0.0090928	1.56497	0.0474623
418	-5.56171	0.00907109	1.56547	0.0473517
419	-5.56154	0.00905106	1.5662	0.0472445
420	-5.56134	0.00903163	1.56643	0.0471329
421	-5.56126	0.00901049	1.56604	0.0470227
422	-5.56139	0.00898997	1.56701	0.0469215
423	-5.56118	0.0089711	1.56681	0.0468112
424	-5.56119	0.00894995	1.56692	0.0467012
