# Blocco	Energia Media	Errore Energia	Pressione Media	Errore Pressione
263	-0.413783	0.00302661	0.0487261	0.000460939
264	-0.413866	0.00301629	0.0486811	0.000461384
265	-0.413878	0.00300493	0.0486573	0.00046026
266	-0.414095	0.00300148	0.0486136	0.000460593
267	-0.414296	0.00299692	0.0485621	0.000461746
268	-0.414151	0.00298925	0.0485348	0.000460826
269	-0.41411	0.00297841	0.0485281	0.000459162
270	-0.414088	0.00296746	0.0485372	0.000457551
271	-0.41395	0.00295971	0.0485528	0.000456129
272	-0.413905	0.00294918	0.0485263	0.000455217
273	-0.41393	0.00293848	0.0484955	0.000454591
274	-0.413902	0.00292788	0.0484921	0.000452945
275	-0.41423	0.0029355	0.0484827	0.000451396
276	-0.414398	0.00292967	0.0484756	0.000449816
277	-0.414329	0.00291991	0.0484606	0.00044844
278	-0.414453	0.00291204	0.0484275	0.00044805
279	-0.414698	0.00291192	0.048424	0.000446458
280	-0.414894	0.00290811	0.0483908	0.000446094
281	-0.41497	0.00289876	0.0483926	0.00044451
282	-0.414847	0.00289112	0.0484119	0.000443354
283	-0.414505	0.00290105	0.0484345	0.000442365
284	-0.414411	0.00289235	0.0484436	0.000440901
285	-0.414324	0.00288352	0.0484388	0.000439381
286	-0.41437	0.00287381	0.0484708	0.000439007
287	-0.414241	0.00286671	0.0484954	0.00043817
288	-0.41414	0.00285853	0.0485323	0.000438202
289	-0.414013	0.00285148	0.0485453	0.000436876
290	-0.413866	0.00284542	0.0485442	0.000435371
291	-0.413901	0.00283586	0.048532	0.000434046
292	-0.413901	0.00282615	0.0485056	0.000433362
293	-0.414176	0.00282983	0.048505	0.000431884
294	-0.414485	0.00283697	0.0485039	0.000430416
295	-0.414532	0.00282776	0.048499	0.000428985
296	-0.414769	0.00282811	0.048504	0.000427564
297	-0.414867	0.00282027	0.0485124	0.000426208
298	-0.414904	0.00281105	0.0485013	0.000424924
299	-0.414992	0.00280303	0.0484719	0.000424513
300	-0.415214	0.00280244	0.0484992	0.000423972
301	-0.415363	0.00279709	0.0484982	0.000422564
302	-0.415101	0.00280009	0.0485072	0.000421261
303	-0.414918	0.0027968	0.0485367	0.000420904
304	-0.414613	0.0028042	0.0485648	0.000420454
305	-0.414814	0.00280218	0.0485921	0.000419962
306	-0.41494	0.00279588	0.048612	0.000419062
307	-0.415149	0.00279457	0.0486049	0.000417758
308	-0.415151	0.0027855	0.0486085	0.000416417
309	-0.414959	0.00278306	0.0486026	0.000415111
310	-0.414802	0.00277851	0.0485831	0.000414227
311	-0.414522	0.00278369	0.0485849	0.000412899
312	-0.414293	0.00278416	0.0485969	0.000411752
313	-0.414362	0.00277613	0.048546	0.000413573
314	-0.414281	0.00276847	0.0485011	0.000414691
315	-0.41415	0.00276277	0.0484973	0.000413391
316	-0.414197	0.00275443	0.0484974	0.000412083
317	-0.414373	0.00275131	0.0484703	0.000411672
318	-0.414487	0.00274502	0.0484431	0.000411275
319	-0.414404	0.00273765	0.0484454	0.000409992
320	-0.414219	0.00273538	0.048437	0.000408795
321	-0.414242	0.00272696	0.0484454	0.000407608
322	-0.41443	0.002725	0.0484558	0.000406474
323	-0.414458	0.0027167	0.04847	0.000405462
324	-0.414235	0.00271742	0.0485423	0.000410614
325	-0.41401	0.0027184	0.048557	0.000409613
326	-0.413948	0.00271076	0.0485982	0.000410421
327	-0.414011	0.00270318	0.0485751	0.000409814
328	-0.413806	0.00270267	0.0485549	0.000409065
329	-0.413797	0.00269448	0.0485415	0.00040804
330	-0.413881	0.00268764	0.0485162	0.000407587
331	-0.413942	0.0026802	0.0485222	0.000406401
332	-0.413795	0.00267616	0.048551	0.000406194
333	-0.413752	0.00266847	0.0485459	0.000405006
334	-0.413528	0.00266987	0.0485391	0.000403851
335	-0.413428	0.00266378	0.0485361	0.000402656
336	-0.413365	0.0026566	0.048557	0.000402002
337	-0.413526	0.00265363	0.0485553	0.000400813
338	-0.413762	0.00265628	0.0485435	0.0003998
339	-0.413852	0.00264994	0.0485484	0.000398651
340	-0.4137	0.0026465	0.0486104	0.000402271
341	-0.413594	0.00264084	0.048631	0.000401615
342	-0.413328	0.00264645	0.048614	0.0004008
343	-0.413107	0.00264802	0.0486286	0.000399897
344	-0.412973	0.00264371	0.0486632	0.000400233
345	-0.412878	0.00263774	0.048677	0.00039931
346	-0.413131	0.0026422	0.0486637	0.000398378
347	-0.413383	0.00264658	0.0486596	0.000397251
348	-0.41364	0.00265147	0.0486564	0.000396122
