#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         314   -0.465745   -0.462876 0.000315436
         315   -0.458134   -0.462861 0.000314793
         316   -0.470094   -0.462884 0.000314628
         317    -0.45561   -0.462861 0.000314471
         318    -0.46333   -0.462863 0.000313486
         319   -0.474244   -0.462898 0.000314527
         320   -0.467659   -0.462913 0.000313895
         321   -0.465381   -0.462921 0.000313012
         322   -0.461434   -0.462916 0.000312074
         323   -0.470793   -0.462941 0.000312059
         324   -0.464255   -0.462945 0.000311122
         325   -0.461179   -0.462939 0.000310212
         326   -0.472917    -0.46297 0.000310767
         327   -0.465282   -0.462977 0.000309897
         328   -0.452154   -0.462944 0.000310704
         329   -0.456493   -0.462924 0.000310378
         330   -0.460602   -0.462917 0.000309517
         331   -0.464501   -0.462922 0.000308619
         332   -0.455006   -0.462898 0.000308609
         333    -0.45821   -0.462884 0.000308003
         334   -0.458084    -0.46287 0.000307416
         335   -0.465982   -0.462879 0.000306639
         336   -0.465765   -0.462888 0.000305846
         337   -0.458659   -0.462875 0.000305196
         338   -0.453598   -0.462848 0.000305525
         339   -0.470119   -0.462869 0.000305375
         340    -0.46354   -0.462871 0.000304484
         341   -0.458664   -0.462859 0.000303841
         342   -0.462479   -0.462858 0.000302954
         343   -0.458623   -0.462845 0.000302322
         344   -0.467783    -0.46286 0.000301784
         345   -0.463554   -0.462862 0.000300916
         346   -0.458774    -0.46285 0.000300278
         347   -0.465534   -0.462858 0.000299513
         348   -0.465424   -0.462865 0.000298743
         349   -0.462035   -0.462863 0.000297896
         350   -0.468323   -0.462878 0.000297453
         351   -0.466618   -0.462889 0.000296797
         352   -0.463325    -0.46289 0.000295956
         353   -0.460914   -0.462885  0.00029517
         354   -0.470943   -0.462907 0.000295213
         355   -0.458571   -0.462895 0.000294634
         356   -0.462218   -0.462893 0.000293813
         357   -0.462245   -0.462891 0.000292995
         358   -0.454426   -0.462868 0.000293129
         359   -0.469141   -0.462885 0.000292833
         360    -0.45507   -0.462864 0.000292823
         361   -0.464356   -0.462868 0.000292041
         362   -0.463536    -0.46287  0.00029124
         363   -0.464054   -0.462873 0.000290456
         364   -0.461237   -0.462868 0.000289693
         365   -0.464146   -0.462872 0.000288921
         366    -0.45481    -0.46285  0.00028897
         367   -0.460266   -0.462843 0.000288268
         368    -0.46715   -0.462854 0.000287722
         369   -0.474219   -0.462885 0.000288586
         370    -0.45461   -0.462863 0.000288672
         371   -0.456869   -0.462847 0.000288346
         372    -0.46122   -0.462842 0.000287604
         373   -0.459283   -0.462833 0.000286991
         374   -0.479806   -0.462878 0.000289789
         375   -0.454279   -0.462855 0.000289922
         376   -0.467137   -0.462867 0.000289375
         377   -0.455298   -0.462847 0.000289303
         378   -0.478751   -0.462889 0.000291581
         379   -0.468447   -0.462903  0.00029118
         380   -0.464588   -0.462908 0.000290448
         381   -0.468187   -0.462922 0.000290016
         382   -0.452541   -0.462894 0.000290527
         383    -0.45382   -0.462871 0.000290733
         384   -0.463618   -0.462873 0.000289982
         385   -0.465831    -0.46288 0.000289331
         386   -0.466898   -0.462891 0.000288768
         387   -0.466359     -0.4629 0.000288161
         388   -0.459503   -0.462891 0.000287552
         389   -0.467728   -0.462903 0.000287081
         390    -0.47475   -0.462934 0.000287948
         391    -0.45772    -0.46292  0.00028752
         392   -0.454969     -0.4629 0.000287501
         393   -0.460874   -0.462895 0.000286816
         394    -0.46505     -0.4629  0.00028614
         395   -0.452276   -0.462874 0.000286677
         396   -0.463319   -0.462875 0.000285955
         397   -0.461221   -0.462871 0.000285265
         398   -0.463934   -0.462873 0.000284561
         399   -0.462058   -0.462871 0.000283855
         400   -0.462458    -0.46287 0.000283147
         401   -0.462509   -0.462869 0.000282443
         402   -0.456764   -0.462854 0.000282148
         403   -0.455422   -0.462836  0.00028205
         404   -0.462194   -0.462834 0.000281356
         405   -0.458861   -0.462824 0.000280833
         406   -0.460758   -0.462819 0.000280187
         407   -0.450758   -0.462789 0.000281062
         408    -0.46828   -0.462803 0.000280695
         409   -0.474585   -0.462832 0.000281483
         410   -0.466142    -0.46284 0.000280912
         411   -0.472431   -0.462863 0.000281196
         412    -0.45103   -0.462834 0.000281977
         413   -0.465428   -0.462841 0.000281364
         414   -0.468566   -0.462855 0.000281024
         415   -0.466302   -0.462863 0.000280469
         416   -0.463152   -0.462864 0.000279796
         417   -0.471722   -0.462885 0.000279931
         418   -0.453225   -0.462862 0.000280213
         419   -0.459842   -0.462854 0.000279637
         420   -0.466523   -0.462863 0.000279108
         421   -0.451865   -0.462837 0.000279665
         422   -0.467893   -0.462849 0.000279258
         423   -0.467802   -0.462861 0.000278844
         424   -0.464794   -0.462865 0.000278223
         425    -0.47307   -0.462889 0.000278603
         426   -0.467084   -0.462899 0.000278123
         427   -0.457879   -0.462887  0.00027772
         428   -0.471234   -0.462907 0.000277755
         429   -0.474231   -0.462933 0.000278359
         430    -0.46411   -0.462936 0.000277725
         431   -0.454221   -0.462916 0.000277816
         432   -0.452923   -0.462893 0.000278134
         433    -0.45322    -0.46287 0.000278387
         434   -0.460679   -0.462865 0.000277791
         435   -0.455728   -0.462849 0.000277637
         436   -0.473939   -0.462874 0.000278163
         437   -0.461706   -0.462872 0.000277539
         438   -0.456379   -0.462857 0.000277301
         439   -0.458818   -0.462848 0.000276822
         440   -0.451498   -0.462822 0.000277392
         441   -0.460172   -0.462816 0.000276828
         442   -0.460246    -0.46281 0.000276263
         443   -0.464587   -0.462814 0.000275668
         444   -0.462118   -0.462812 0.000275052
         445   -0.472235   -0.462834 0.000275248
         446   -0.467424   -0.462844 0.000274823
         447   -0.462663   -0.462844 0.000274208
         448    -0.44965   -0.462814 0.000275173
         449   -0.456894   -0.462801 0.000274876
         450   -0.459884   -0.462794 0.000274342
         451   -0.463914   -0.462797 0.000273745
         452   -0.478858   -0.462832 0.000275436
         453    -0.46317   -0.462833 0.000274829
         454   -0.456376   -0.462819 0.000274591
         455   -0.469526   -0.462834 0.000274383
         456   -0.461677   -0.462831 0.000273793
         457   -0.462413    -0.46283 0.000273195
         458   -0.460714   -0.462826 0.000272638
         459   -0.458738   -0.462817 0.000272189
         460   -0.462654   -0.462816 0.000271598
         461   -0.471093   -0.462834 0.000271601
         462   -0.453817   -0.462815 0.000271714
         463   -0.462521   -0.462814 0.000271128
         464   -0.459104   -0.462806 0.000270661
         465   -0.465245   -0.462811  0.00027013
         466   -0.448322    -0.46278 0.000271334
         467   -0.475093   -0.462807 0.000272031
         468   -0.462937   -0.462807  0.00027145
         469   -0.467811   -0.462818 0.000271081
         470   -0.469293   -0.462831 0.000270854
         471   -0.456031   -0.462817 0.000270663
         472   -0.461114   -0.462813 0.000270114
         473   -0.466702   -0.462822 0.000269668
         474   -0.463947   -0.462824 0.000269109
         475   -0.466297   -0.462831 0.000268642
         476   -0.464406   -0.462835 0.000268098
