#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         394     0.01648   0.0275113  0.00106273
         395      0.0258   0.0275069  0.00106005
         396     0.06996   0.0276141  0.00106278
         397     0.04904   0.0276681  0.00106147
         398     0.01272   0.0276306  0.00105947
         399    -0.00108   0.0275586  0.00105925
         400     0.01892    0.027537  0.00105682
         401     0.02144   0.0275218   0.0010543
         402      0.0382   0.0275484  0.00105201
         403     0.02308   0.0275373  0.00104946
         404     0.01368    0.027503  0.00104742
         405     0.02304    0.027492  0.00104489
         406     0.01392   0.0274585  0.00104285
         407     0.04188    0.027494  0.00104089
         408       0.038   0.0275197  0.00103866
         409    -0.00276   0.0274457  0.00103875
         410     0.02312   0.0274351  0.00103627
         411     0.00956   0.0273916  0.00103467
         412     0.01148    0.027353  0.00103287
         413      0.0314   0.0273628  0.00103042
         414     0.02832   0.0273651  0.00102793
         415     0.01912   0.0273453  0.00102565
         416      0.0176   0.0273218  0.00102345
         417     0.02612   0.0273189    0.001021
         418    -0.01476   0.0272183  0.00102351
         419     0.02812   0.0272204  0.00102107
         420     0.04216    0.027256  0.00101926
         421     0.04124   0.0272892  0.00101738
         422     0.04264   0.0273256  0.00101562
         423    -0.00592    0.027247  0.00101625
         424    -0.00832   0.0271631  0.00101731
         425     0.03348    0.027178  0.00101503
         426      0.0262   0.0271757  0.00101265
         427     0.01796   0.0271541   0.0010105
         428     0.03372   0.0271694  0.00100826
         429     0.03956   0.0271983  0.00100632
         430     0.02148    0.027185  0.00100407
         431     0.02704   0.0271847  0.00100174
         432     0.03816   0.0272101 0.000999744
         433      -0.035   0.0270664  0.00100771
         434    -0.02604   0.0269441  0.00101279
         435      0.0384   0.0269704   0.0010108
         436    -0.00304   0.0269016  0.00101082
         437     0.04528   0.0269436  0.00100938
         438     0.00696    0.026898  0.00100811
         439     0.00092   0.0268388  0.00100755
         440     0.01088   0.0268025  0.00100591
         441      0.0326   0.0268157  0.00100372
         442     0.01228   0.0267828  0.00100198
         443     0.03736   0.0268067  0.00100001
         444     0.06192   0.0268858  0.00100088
         445     0.02376   0.0268787 0.000998653
         446      0.0592   0.0269512 0.000999039
         447     0.04916   0.0270009 0.000998039
         448     0.00252   0.0269463 0.000997306
         449     0.05272   0.0270037 0.000996736
         450      0.0422   0.0270374 0.000995092
         451     0.02772   0.0270389 0.000992887
         452     0.05892   0.0271095 0.000993193
         453     0.03052    0.027117 0.000991029
         454      0.0228   0.0271075 0.000988892
         455    -0.00372   0.0270397 0.000989036
         456     0.02384   0.0270327 0.000986892
         457    -0.01136   0.0269487 0.000988302
         458     0.03568   0.0269678 0.000986328
         459     0.04088   0.0269981 0.000984645
         460     0.01668   0.0269757  0.00098276
         461     0.03864    0.027001 0.000980954
         462     0.04684   0.0270439  0.00097977
         463     0.03804   0.0270676 0.000977941
         464      0.0432   0.0271024 0.000976452
         465     0.03824   0.0271264 0.000974645
         466     0.01212   0.0270942 0.000973086
         467     0.02264   0.0270846 0.000971049
         468     0.04284   0.0271183 0.000969557
         469     0.00656   0.0270745  0.00096848
         470     0.02864   0.0270778 0.000966426
         471     0.00956   0.0270406 0.000965089
         472     0.00368   0.0269911 0.000964313
         473    -0.00088   0.0269322 0.000964073
         474     0.02936   0.0269373 0.000962052
         475     0.07884   0.0270466 0.000966212
         476     0.06032   0.0271165 0.000966708
         477     0.01344   0.0270878 0.000965106
         478      0.0476   0.0271307 0.000964041
         479      0.0432   0.0271643 0.000962612
         480    -0.02936   0.0270465 0.000967782
         481     0.02496   0.0270422  0.00096578
         482     0.07328   0.0271381 0.000968529
         483     0.05508   0.0271959  0.00096825
         484     -0.0038   0.0271319 0.000968365
         485     0.05288    0.027185 0.000967822
         486     0.04776   0.0272273 0.000966756
         487      0.0114   0.0271948 0.000965317
         488     0.01068    0.027161 0.000963932
         489     0.03504   0.0271771 0.000962096
         490    -0.00592   0.0271096   0.0009625
         491     0.01888   0.0270928 0.000960686
         492     0.03472   0.0271083 0.000958858
         493      0.0098   0.0270732 0.000957556
         494     0.04192   0.0271032 0.000956089
         495     0.04188   0.0271331 0.000954624
         496     0.00888   0.0270963 0.000953408
         497     0.03236   0.0271069 0.000951549
         498     0.00636   0.0270652 0.000950549
         499    -0.00664   0.0269977 0.000951041
         500     0.01684   0.0269774 0.000949356
